t (ms),Ina (pA)
6.88,-9.570058376
6.89,-9.551698673
6.9,-9.533503737
6.91,-9.515472091
6.92,-9.497602269
6.93,-9.479892818
6.94,-9.462342299
6.95,-9.444949286
6.96,-9.427712365
6.97,-9.410630136
6.98,-9.393701211
6.99,-9.376924212
7,-9.360297778
7.01,-9.343820557
7.02,-9.327491209
7.03,-9.311308408
7.04,-9.295270838
7.05,-9.279377196
7.06,-9.263626191
7.07,-9.248016542
7.08,-9.23254698
7.09,-9.217216249
7.1,-9.202023103
7.11,-9.186966307
7.12,-9.172044637
7.13,-9.15725688
7.14,-9.142601835
7.15,-9.12807831
7.16,-9.113685126
7.17,-9.099421113
7.18,-9.085285111
7.19,-9.071275971
7.2,-9.057392556
7.21,-9.043633736
7.22,-9.029998394
7.23,-9.016485421
7.24,-9.00309372
7.25,-8.989822201
7.26,-8.976669787
7.27,-8.963635408
7.28,-8.950718006
7.29,-8.937916529
7.3,-8.925229939
7.31,-8.912657203
7.32,-8.900197301
7.33,-8.887849219
7.34,-8.875611954
7.35,-8.863484512
7.36,-8.851465907
7.37,-8.839555161
7.38,-8.827751308
7.39,-8.816053388
7.4,-8.80446045
7.41,-8.792971552
7.42,-8.78158576
7.43,-8.770302149
7.44,-8.759119802
7.45,-8.748037811
7.46,-8.737055274
7.47,-8.726171298
7.48,-8.715385001
7.49,-8.704695504
7.5,-8.69410194
7.51,-8.683603446
7.52,-8.673199171
7.53,-8.662888268
7.54,-8.652669899
7.55,-8.642543235
7.56,-8.632507452
7.57,-8.622561734
7.58,-8.612705273
7.59,-8.602937268
7.6,-8.593256926
7.61,-8.583663459
7.62,-8.574156088
7.63,-8.564734041
7.64,-8.55539655
7.65,-8.546142859
7.66,-8.536972214
7.67,-8.52788387
7.68,-8.51887709
7.69,-8.509951139
7.7,-8.501105295
7.71,-8.492338836
7.72,-8.483651052
7.73,-8.475041235
7.74,-8.466508687
7.75,-8.458052713
7.76,-8.449672627
7.77,-8.441367748
7.78,-8.4331374
7.79,-8.424980914
7.8,-8.416897629
7.81,-8.408886886
7.82,-8.400948036
7.83,-8.393080432
7.84,-8.385283435
7.85,-8.377556411
7.86,-8.369898734
7.87,-8.36230978
7.88,-8.354788932
7.89,-8.347335579
7.9,-8.339949117
7.91,-8.332628943
7.92,-8.325374464
7.93,-8.31818509
7.94,-8.311060236
7.95,-8.303999324
7.96,-8.297001779
7.97,-8.290067033
7.98,-8.283194523
7.99,-8.27638369
8,-8.26963398
8,-19.28526579
8.01,-10.97058737
8.02,-1.00233428
8.03,-0.0707360351
8.04,-0.0044807628
8.05,-0.0002683865
8.06,-0.000015675
8.07,-0.000000924
8.08,-0.0000000586
8.09,-0.0000000046
8.1,-0.0000000006
8.11,-0.0000000001
8.12,-0.0000000001
8.13,0
8.14,0
8.15,0
8.16,0
8.17,0
8.18,0
8.19,0
8.2,0
8.21,0
8.22,0
8.23,0
8.24,0
8.25,0
8.26,0
8.27,0
8.28,0
8.29,0
8.3,0
8.31,0
8.32,0
8.33,0
8.34,-0.0000000001
8.35,-0.0000000001
8.36,-0.0000000001
8.37,-0.0000000001
8.38,-0.0000000001
8.39,-0.0000000001
8.4,-0.0000000001
8.41,-0.0000000001
8.42,-0.0000000001
8.43,-0.0000000001
8.44,-0.0000000001
8.45,-0.0000000001
8.46,-0.0000000001
8.47,-0.0000000001
8.48,-0.0000000001
8.49,-0.0000000001
8.5,-0.0000000001
